CMDLINE /Users/felixtangerding/Ferntree/code/ferntree/venv/bin/python3.12 pv_financial_analysis.py
MEM 0.128906 1712690804.5662
MEM 13.875000 1712690804.6702
MEM 22.320312 1712690804.7747
MEM 28.746094 1712690804.8800
MEM 36.234375 1712690804.9852
MEM 42.609375 1712690805.0903
MEM 44.519531 1712690805.1945
MEM 46.265625 1712690805.2993
MEM 47.800781 1712690805.3998
MEM 49.867188 1712690805.5054
MEM 51.339844 1712690805.6104
MEM 52.136719 1712690805.7112
MEM 54.429688 1712690805.8115
MEM 55.613281 1712690805.9134
MEM 56.441406 1712690806.0146
MEM 57.660156 1712690806.1175
MEM 59.089844 1712690806.2188
MEM 59.675781 1712690806.3213
MEM 60.855469 1712690806.4254
MEM 62.441406 1712690806.5257
MEM 63.625000 1712690806.6308
MEM 65.101562 1712690806.7314
MEM 68.027344 1712690806.8344
MEM 71.097656 1712690806.9360
MEM 73.171875 1712690807.0404
MEM 76.507812 1712690807.1456
MEM 79.968750 1712690807.2471
MEM 81.257812 1712690807.3480
MEM 83.210938 1712690807.4489
MEM 86.925781 1712690807.5502
MEM 90.054688 1712690807.6546
MEM 91.664062 1712690807.7557
MEM 93.175781 1712690807.8571
MEM 95.488281 1712690807.9618
MEM 96.425781 1712690808.0635
MEM 98.835938 1712690808.1639
MEM 100.664062 1712690808.2692
MEM 103.835938 1712690808.3732
MEM 105.640625 1712690808.4737
MEM 112.062500 1712690808.5762
MEM 118.109375 1712690808.6803
MEM 143.359375 1712690808.7809
MEM 166.375000 1712690808.8813
MEM 166.875000 1712690808.9838
MEM 203.734375 1712690809.0971
MEM 207.320312 1712690809.2026
MEM 207.320312 1712690809.3062
MEM 207.644531 1712690809.4103
MEM 205.957031 1712690809.5156
MEM 205.960938 1712690809.6187
MEM 205.964844 1712690809.7205
MEM 205.968750 1712690809.8238
MEM 205.968750 1712690809.9259
MEM 205.968750 1712690810.0310
MEM 205.968750 1712690810.1355
MEM 205.968750 1712690810.2396
MEM 205.968750 1712690810.3407
MEM 199.718750 1712690810.4419
MEM 191.671875 1712690810.5444
MEM 191.671875 1712690810.6469
MEM 191.359375 1712690810.7484
MEM 191.613281 1712690810.8490
MEM 191.613281 1712690810.9516
MEM 191.613281 1712690811.0533
MEM 191.613281 1712690811.1574
MEM 191.613281 1712690811.2598
MEM 191.613281 1712690811.3631
MEM 191.613281 1712690811.4687
MEM 191.613281 1712690811.5693
MEM 191.613281 1712690811.6746
MEM 191.613281 1712690811.7753
MEM 191.613281 1712690811.8777
MEM 191.613281 1712690811.9820
MEM 192.792969 1712690812.0864
MEM 192.812500 1712690812.1918
MEM 192.812500 1712690812.2976
MEM 192.812500 1712690812.4017
MEM 193.046875 1712690812.5046
MEM 193.050781 1712690812.6060
MEM 193.066406 1712690812.7088
MEM 193.066406 1712690812.8111
MEM 193.066406 1712690812.9167
MEM 193.066406 1712690813.0174
MEM 193.066406 1712690813.1186
MEM 193.066406 1712690813.2222
MEM 193.066406 1712690813.3277
MEM 193.148438 1712690813.4329
MEM 193.222656 1712690813.5374
MEM 199.117188 1712690813.6404
MEM 198.371094 1712690813.7440
